,Model,Accuracy,Confusion Matrix,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,_strategy,_equity_curve,_trades
0,Logistic Regression,0.7610294117647058,"[[102  20]
 [ 45 105]]",2024-01-29,2025-02-27,395 days,49.63235294117647,9944.60110473633,16544.279891967773,-0.5539889526367006,56.881481423614375,-0.513359214428899,63.264983909813,-0.3537862381316148,-0.008114428910006759,-0.013989939017848904,-0.010463086161098251,-29.151623886451723,0.5027582653981776,-49.06384278259777,-13.158079461311164,339 days,62 days,10,30.0,49.80745936857958,-18.178679265023966,-0.09011366649571695,53 days,19 days,1.2259453729282468,1.234326427715069,-0.008978006751369654,-0.0025003900881498398,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-29  10000.000000      0.00000              NaT
2024-01-30  10000.000000      0.00000              NaT
2024-01-31  10000.000000      0.00000              NaT
2024-02-01  10000.000000      0.00000              NaT
2024-02-02  10000.000000      0.00000              NaT
...                  ...          ...              ...
2025-02-21   9944.601105      0.39891              NaT
2025-02-24   9944.601105      0.39891              NaT
2025-02-25   9944.601105      0.39891              NaT
2025-02-26   9944.601105      0.39891              NaT
2025-02-27   9944.601105      0.39891         339 days

[272 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0    59        13       48  168.789993  252.860001  None  None  4960.130432   0.498075 2024-02-15 2024-04-08  53 days  None                 1                1
1    59        49       50  253.229996  238.240005  None  None  -884.409424  -0.059195 2024-04-09 2024-04-10   1 days  None                 0                0
2    54        52       53  259.420013  247.940002  None  None  -619.920593  -0.044253 2024-04-12 2024-04-15   3 days  None                 0                0
3    57        83      101  235.449997  217.220001  None  None -1039.109756  -0.077426 2024-05-28 2024-06-24  27 days  None                 1                0
4    49       118      119  251.210007  235.100006  None  None  -789.390030  -0.064130 2024-07-18 2024-07-19   1 days  None                 0                1
5    44       120      129  260.470001  213.119995  None  None -2083.400269  -0.181787 2024-07-22 2024-08-02  11 days  None                 1                0
6    46       181      196  203.529999  221.479996  None  None   825.699860   0.088193 2024-10-16 2024-11-06  21 days  None                 1                1
7    42       197      227  245.630005  266.130005  None  None   861.000000   0.083459 2024-11-07 2024-12-20  43 days  None                 1                0
8    38       247      261  289.739990  264.390015  None  None  -963.299072  -0.087492 2025-01-23 2025-02-12  20 days  None                 1                0
9    35       263      264  288.019989  278.799988  None  None  -322.700043  -0.032012 2025-02-14 2025-02-18   4 days  None                 0                0"
1,Random Forest,0.8051470588235294,"[[106  16]
 [ 37 113]]",2024-01-29,2025-02-27,395 days,50.0,12501.90231323242,20175.039428710938,25.019023132324204,56.881481423614375,22.983119668671257,81.38787739509183,15.310351876751582,0.28238996278403095,0.6141888216069956,0.6001430252062201,-3.99666568944701,0.5101078258789044,-38.2960706087917,-13.273153357325935,339 days,74 days,7,28.57142857142857,61.13881131838519,-8.013079140779178,3.2454302588942774,63 days,27 days,2.158323780912817,5.327267519618499,0.3571742429435621,0.09986549555785751,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-29  10000.000000     0.000000              NaT
2024-01-30  10000.000000     0.000000              NaT
2024-01-31  10000.000000     0.000000              NaT
2024-02-01  10000.000000     0.000000              NaT
2024-02-02  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  12501.902313     0.380328              NaT
2025-02-24  12501.902313     0.380328              NaT
2025-02-25  12501.902313     0.380328              NaT
2025-02-26  12501.902313     0.380328              NaT
2025-02-27  12501.902313     0.380328         339 days

[272 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0    72        11       54  138.389999  223.000000  None  None  6091.920044   0.611388 2024-02-13 2024-04-16  63 days  None                 1                0
1    68        83      101  235.449997  217.220001  None  None -1239.639709  -0.077426 2024-05-28 2024-06-24  27 days  None                 1                0
2    60       117      127  245.899994  233.000000  None  None  -773.999634  -0.052460 2024-07-17 2024-07-31  14 days  None                 1                0
3    71       180      193  195.679993  180.000000  None  None -1113.279480  -0.080131 2024-10-15 2024-11-01  17 days  None                 1                0
4    52       197      227  245.630005  266.130005  None  None  1066.000000   0.083459 2024-11-07 2024-12-20  43 days  None                 1                0
5    48       246      259  290.459991  280.399994  None  None  -482.879883  -0.034635 2025-01-22 2025-02-10  19 days  None                 1                0
6    47       263      265  288.019989  265.760010  None  None -1046.219025  -0.077286 2025-02-14 2025-02-19   5 days  None                 1                0"
2,XGBoost,0.7757352941176471,"[[107  15]
 [ 46 104]]",2024-01-29,2025-02-27,395 days,47.05882352941176,11716.240402221683,16544.279891967773,17.162404022216833,56.881481423614375,15.805800492991962,70.65197966439615,10.633124398140946,0.22371348358632084,0.4559993531319407,0.3799328375263437,-8.049061996528405,0.4432280135425356,-41.601564623631724,-11.914366434816824,339 days,62 days,9,22.22222222222222,44.58202677479595,-13.330622038606544,1.7926681446655657,48 days,20 days,1.6535832201822933,3.232166033228609,0.2823420346864993,0.05231248383704212,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-29  10000.000000     0.000000              NaT
2024-01-30  10000.000000     0.000000              NaT
2024-01-31  10000.000000     0.000000              NaT
2024-02-01  10000.000000     0.000000              NaT
2024-02-02  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  11716.240402     0.291825              NaT
2025-02-24  11716.240402     0.291825              NaT
2025-02-25  11716.240402     0.291825              NaT
2025-02-26  11716.240402     0.291825              NaT
2025-02-27  11716.240402     0.291825         339 days

[272 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0    59        13       45  168.789993  244.039993  None  None  4439.750000   0.445820 2024-02-15 2024-04-03  48 days  None                 1                0
1    57        49       50  253.229996  238.240005  None  None  -854.429443  -0.059195 2024-04-09 2024-04-10   1 days  None                 0                0
2    52        52       53  259.420013  247.940002  None  None  -596.960571  -0.044253 2024-04-12 2024-04-15   3 days  None                 0                0
3    55        83      103  235.449997  220.000000  None  None  -849.749832  -0.065619 2024-05-28 2024-06-26  29 days  None                 1                0
4    49       117      129  245.899994  213.119995  None  None -1606.219940  -0.133306 2024-07-17 2024-08-02  16 days  None                 1                0
5    53       180      195  195.679993  185.589996  None  None  -534.769806  -0.051564 2024-10-15 2024-11-05  21 days  None                 1                0
6    40       197      223  245.630005  316.899994  None  None  2850.799561   0.290152 2024-11-07 2024-12-16  39 days  None                 1                1
7    40       224      225  319.829987  308.000000  None  None  -473.199463  -0.036988 2024-12-17 2024-12-18   1 days  None                 0                0
8    42       247      258  289.739990  274.049988  None  None  -658.980103  -0.054152 2025-01-23 2025-02-07  15 days  None                 1                0"
3,SVM,0.75,"[[103  19]
 [ 49 101]]",2024-01-29,2025-02-27,395 days,46.69117647058824,12120.251846313475,16544.279891967773,21.202518463134748,56.881481423614375,19.500874117960887,74.57636176732258,13.052016890234896,0.2614886762484257,0.5492589838229065,0.43479507634206704,-6.448149879067909,0.4861102005462795,-44.85072435047294,-12.455893055957025,339 days,62 days,7,42.857142857142854,49.80745936857958,-18.178679265023966,2.7576850394827046,53 days,25 days,1.8012534917400305,4.702611081073014,0.32184034668700223,0.11956966908552225,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-29  10000.000000     0.000000              NaT
2024-01-30  10000.000000     0.000000              NaT
2024-01-31  10000.000000     0.000000              NaT
2024-02-01  10000.000000     0.000000              NaT
2024-02-02  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  12120.251846     0.267405              NaT
2025-02-24  12120.251846     0.267405              NaT
2025-02-25  12120.251846     0.267405              NaT
2025-02-26  12120.251846     0.267405              NaT
2025-02-27  12120.251846     0.267405         339 days

[272 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0    59        13       48  168.789993  252.860001  None  None  4960.130432   0.498075 2024-02-15 2024-04-08  53 days  None                 1                0
1    63        83      101  235.449997  217.220001  None  None -1148.489731  -0.077426 2024-05-28 2024-06-24  27 days  None                 1                0
2    54       118      119  251.210007  235.100006  None  None  -869.940033  -0.064130 2024-07-18 2024-07-19   1 days  None                 0                1
3    49       120      129  260.470001  213.119995  None  None -2320.150299  -0.181787 2024-07-22 2024-08-02  11 days  None                 1                0
4    50       182      196  209.199997  221.479996  None  None   613.999939   0.058700 2024-10-17 2024-11-06  20 days  None                 1                1
5    45       197      226  245.630005  290.640015  None  None  2025.450439   0.183243 2024-11-07 2024-12-19  42 days  None                 1                0
6    45       247      261  289.739990  264.390015  None  None -1140.748901  -0.087492 2025-01-23 2025-02-12  20 days  None                 1                0"
4,Naive Bayes,0.7536764705882353,"[[114   8]
 [ 59  91]]",2024-01-29,2025-02-27,395 days,39.705882352941174,15272.551971435554,18312.199325561523,52.72551971435554,56.881481423614375,48.04328014876147,87.56337356084126,31.017995973986736,0.5486686749840648,1.4545071974062418,1.5584013694615997,28.432804705839406,0.42707599029639554,-30.828566433665017,-11.741164960056786,339 days,74 days,9,22.22222222222222,60.73239171641627,-11.560948715384335,4.884224393079228,49 days,17 days,3.0853619331885676,6.766226211414709,0.6975599466300497,0.12113775169771229,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-29  10000.000000      0.00000              NaT
2024-01-30  10000.000000      0.00000              NaT
2024-01-31  10000.000000      0.00000              NaT
2024-02-01  10000.000000      0.00000              NaT
2024-02-02  10000.000000      0.00000              NaT
...                  ...          ...              ...
2025-02-21  15272.551971      0.16599              NaT
2025-02-24  15272.551971      0.16599              NaT
2025-02-25  15272.551971      0.16599              NaT
2025-02-26  15272.551971      0.16599              NaT
2025-02-27  15272.551971      0.16599         339 days

[272 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0    65        12       45  151.830002  244.039993  None  None  5993.649445   0.607324 2024-02-14 2024-04-03  49 days  None                 1                1
1    61        46       48  260.149994  252.860001  None  None  -444.689590  -0.028022 2024-04-04 2024-04-08   4 days  None                 1                1
2    61        49       50  253.229996  238.240005  None  None  -914.389404  -0.059195 2024-04-09 2024-04-10   1 days  None                 0                0
3    61        86       99  239.279999  237.360001  None  None  -117.119888  -0.008024 2024-05-31 2024-06-20  20 days  None                 1                0
4    59       117      124  245.899994  243.339996  None  None  -151.039856  -0.010411 2024-07-17 2024-07-26   9 days  None                 1                0
5    70       181      193  203.529999  180.000000  None  None -1647.099915  -0.115609 2024-10-16 2024-11-01  16 days  None                 1                0
6    51       197      221  245.630005  317.760010  None  None  3678.630249   0.293653 2024-11-07 2024-12-12  35 days  None                 1                0
7    56       246      250  290.459991  280.500000  None  None  -557.759521  -0.034290 2025-01-22 2025-01-28   6 days  None                 1                0
8    53       252      255  293.709991  283.000000  None  None  -567.629547  -0.036465 2025-01-30 2025-02-04   5 days  None                 1                0"
5,Gradient Boosting,0.8014705882352942,"[[104  18]
 [ 36 114]]",2024-01-29,2025-02-27,395 days,51.470588235294116,12130.730422973631,17251.680374145508,21.30730422973631,56.881481423614375,19.596589022309917,88.27349502214466,13.114362297652328,0.22199856273271876,0.5136123637549063,0.43164314822594907,-12.329986922165595,0.5913575088066776,-45.3999770478271,-13.650961244173182,254 days,47 days,8,25.0,32.11683682098996,-13.330622038606544,2.447534467183732,65 days,24 days,1.8618726181935865,3.6380952066086008,0.40770783866787885,0.08417347014217877,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-29  10000.000000     0.000000              NaT
2024-01-30  10000.000000     0.000000              NaT
2024-01-31  10000.000000     0.000000              NaT
2024-02-01  10000.000000     0.000000              NaT
2024-02-02  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  12130.730423     0.296838              NaT
2025-02-24  12130.730423     0.296838              NaT
2025-02-25  12130.730423     0.296838              NaT
2025-02-26  12130.730423     0.296838              NaT
2025-02-27  12130.730423     0.296838          83 days

[272 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0    59        13       54  168.789993  223.000000  None  None  3198.390396   0.321168 2024-02-15 2024-04-16  61 days  None                 1                0
1    56        83      102  235.449997  217.000000  None  None -1033.199829  -0.078361 2024-05-28 2024-06-25  28 days  None                 1                0
2    49       117      129  245.899994  213.119995  None  None -1606.219940  -0.133306 2024-07-17 2024-08-02  16 days  None                 1                0
3    57       169      170  184.190002  178.720001  None  None  -311.790070  -0.029698 2024-09-30 2024-10-01   1 days  None                 0                0
4    50       181      227  203.529999  266.130005  None  None  3130.000305   0.307571 2024-10-16 2024-12-20  65 days  None                 1                0
5    46       247      258  289.739990  274.049988  None  None  -721.740112  -0.054152 2025-01-23 2025-02-07  15 days  None                 1                1
6    45       259      260  280.399994  277.549988  None  None  -128.250275  -0.010164 2025-02-10 2025-02-11   1 days  None                 0                0
7    43       263      264  288.019989  278.799988  None  None  -396.460052  -0.032012 2025-02-14 2025-02-18   4 days  None                 0                0"
6,K-Nearest Neighbors,0.8051470588235294,"[[108  14]
 [ 39 111]]",2024-01-29,2025-02-27,395 days,50.36764705882353,8511.181137084957,18512.559692382812,-14.888188629150426,56.881481423614375,-13.873333220603623,56.54546562371414,-9.773255838259676,-0.24534828863068728,-0.36171608337825506,-0.255870404846625,-43.629420508858836,0.5052827591754049,-54.22015582036398,-23.1703140326192,356 days,123 days,12,25.0,62.62735642112316,-15.210036710758757,-1.3994448959742556,43 days,15 days,1.0211011836164254,0.12640448670913906,-0.19772161046565373,-0.05103281016435801,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-29  10000.000000     0.000000              NaT
2024-01-30  10000.000000     0.000000              NaT
2024-01-31  10000.000000     0.000000              NaT
2024-02-01  10000.000000     0.000000              NaT
2024-02-02  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21   8511.181137     0.540248              NaT
2025-02-24   8511.181137     0.540248              NaT
2025-02-25   8511.181137     0.540248              NaT
2025-02-26   8511.181137     0.540248              NaT
2025-02-27   8511.181137     0.540248         356 days

[272 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0     72        11       33  138.389999  225.059998  None  None  6240.239868   0.626274 2024-02-13 2024-03-15  31 days  None                 1                0
1     63        38       56  254.240005  215.570007  None  None -2436.209885  -0.152100 2024-03-22 2024-04-18  27 days  None                 1                0
2     58        83       87  235.449997  232.500000  None  None  -171.099823  -0.012529 2024-05-28 2024-06-03   6 days  None                 1                0
3     55        89       99  246.860001  237.360001  None  None  -522.500000  -0.038483 2024-06-05 2024-06-20  15 days  None                 1                1
4     57       100      102  227.000000  217.000000  None  None  -570.000000  -0.044053 2024-06-21 2024-06-25   4 days  None                 1                0
5     50       117      129  245.899994  213.119995  None  None -1638.999939  -0.133306 2024-07-17 2024-08-02  16 days  None                 1                0
6     59       169      171  184.190002  163.029999  None  None -1248.440216  -0.114881 2024-09-30 2024-10-02   2 days  None                 1                0
7     53       179      195  181.190002  185.589996  None  None   233.199677   0.024284 2024-10-14 2024-11-05  22 days  None                 1                0
8     40       197      227  245.630005  266.130005  None  None   820.000000   0.083459 2024-11-07 2024-12-20  43 days  None                 1                0
9     35       253      258  300.859985  274.049988  None  None  -938.349915  -0.089111 2025-01-31 2025-02-07   7 days  None                 1                1
10    34       259      261  280.399994  264.390015  None  None  -544.339294  -0.057097 2025-02-10 2025-02-12   2 days  None                 1                0
11    32       263      265  288.019989  265.760010  None  None  -712.319336  -0.077286 2025-02-14 2025-02-19   5 days  None                 1                0"
7,Decision Tree,0.7573529411764706,"[[ 93  29]
 [ 37 113]]",2024-01-29,2025-02-27,395 days,58.08823529411765,14345.015274047852,21656.580032348633,43.450152740478515,56.881481423614375,39.694362966289056,107.5862123711407,25.88421628290858,0.36895399597631723,0.9994347537104745,1.093761605120815,7.46850994753477,0.6325721815326341,-36.29160392945452,-11.971958128974638,231 days,34 days,16,43.75,48.528222366603345,-8.749215310400038,2.269027196596518,67 days,13 days,2.2405697406959884,3.1168406695888216,0.5901920763367949,0.17951468924083774,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-29  10000.000000     0.000000              NaT
2024-01-30  10000.000000     0.000000              NaT
2024-01-31  10000.000000     0.000000              NaT
2024-02-01  10000.000000     0.000000              NaT
2024-02-02  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  14345.015274     0.337614              NaT
2025-02-24  14345.015274     0.337614              NaT
2025-02-25  14345.015274     0.337614              NaT
2025-02-26  14345.015274     0.337614              NaT
2025-02-27  14345.015274     0.337614          83 days

[272 rows x 3 columns]","    Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0     70        10       12  141.100006  151.830002  None  None   751.099701   0.076045 2024-02-12 2024-02-14   2 days  None                 1                1
1     63        13       58  168.789993  216.789993  None  None  3024.000000   0.284377 2024-02-15 2024-04-22  67 days  None                 1                0
2     58        83       85  235.449997  241.100006  None  None   327.700531   0.023997 2024-05-28 2024-05-30   2 days  None                 1                1
3     58        86       99  239.279999  237.360001  None  None  -111.359894  -0.008024 2024-05-31 2024-06-20  20 days  None                 1                0
4     64       102      103  217.000000  220.000000  None  None   192.000000   0.013825 2024-06-25 2024-06-26   1 days  None                 0                0
5     57       117      124  245.899994  243.339996  None  None  -145.919861  -0.010411 2024-07-17 2024-07-26   9 days  None                 1                1
6     55       125      126  251.550003  235.619995  None  None  -876.150436  -0.063327 2024-07-29 2024-07-30   1 days  None                 0                0
7     65       144      148  200.970001  194.000000  None  None  -453.050079  -0.034682 2024-08-23 2024-08-29   6 days  None                 1                0
8     68       169      170  184.190002  178.720001  None  None  -371.960083  -0.029698 2024-09-30 2024-10-01   1 days  None                 0                0
9     63       180      226  195.679993  290.640015  None  None  5982.481384   0.485282 2024-10-15 2024-12-19  65 days  None                 1                0
10    66       228      230  274.519989  275.579987  None  None    69.959839   0.003861 2024-12-23 2024-12-26   3 days  None                 1                0
11    71       234      235  256.480011  259.890015  None  None   242.110260   0.013295 2025-01-02 2025-01-03   1 days  None                 0                0
12    64       237      238  286.739990  263.880005  None  None -1463.039062  -0.079724 2025-01-07 2025-01-08   1 days  None                 0                1
13    66       239      240  257.769989  246.979996  None  None  -712.139557  -0.041859 2025-01-10 2025-01-13   3 days  None                 0                0
14    56       247      261  289.739990  264.390015  None  None -1419.598633  -0.087492 2025-01-23 2025-02-12  20 days  None                 1                0
15    53       264      265  278.799988  265.760010  None  None  -691.118835  -0.046772 2025-02-18 2025-02-19   1 days  None                 0                0"
8,AdaBoost,0.7904411764705882,"[[103  19]
 [ 38 112]]",2024-01-29,2025-02-27,395 days,51.10294117647059,9009.532501220705,16544.279891967773,-9.904674987792951,56.881481423614375,-9.211054313641876,58.9866744457992,-6.437636022894444,-0.15615483327688853,-0.2389867398392691,-0.2012539684608074,-38.379915054565615,0.5006065129476595,-45.76831147275316,-12.60882424300373,339 days,62 days,8,25.0,49.80745936857958,-13.330622038606544,-1.3522837620714157,53 days,24 days,1.0331160284573622,0.23300962628078903,-0.15937180430083656,-0.04299179914626888,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-29  10000.000000     0.000000              NaT
2024-01-30  10000.000000     0.000000              NaT
2024-01-31  10000.000000     0.000000              NaT
2024-02-01  10000.000000     0.000000              NaT
2024-02-02  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21   9009.532501     0.455429              NaT
2025-02-24   9009.532501     0.455429              NaT
2025-02-25   9009.532501     0.455429              NaT
2025-02-26   9009.532501     0.455429              NaT
2025-02-27   9009.532501     0.455429         339 days

[272 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0    59        13       48  168.789993  252.860001  None  None  4960.130432   0.498075 2024-02-15 2024-04-08  53 days  None                 1                1
1    59        49       54  253.229996  223.000000  None  None -1783.569748  -0.119378 2024-04-09 2024-04-16   7 days  None                 1                0
2    55        83      102  235.449997  217.000000  None  None -1014.749832  -0.078361 2024-05-28 2024-06-25  28 days  None                 1                0
3    49       117      129  245.899994  213.119995  None  None -1606.219940  -0.133306 2024-07-17 2024-08-02  16 days  None                 1                0
4    53       180      193  195.679993  180.000000  None  None  -831.039612  -0.080131 2024-10-15 2024-11-01  17 days  None                 1                0
5    39       197      227  245.630005  266.130005  None  None   799.500000   0.083459 2024-11-07 2024-12-20  43 days  None                 1                0
6    36       247      261  289.739990  264.390015  None  None  -912.599121  -0.087492 2025-01-23 2025-02-12  20 days  None                 1                1
7    33       262      265  284.000000  265.760010  None  None  -601.919678  -0.064225 2025-02-13 2025-02-19   6 days  None                 1                0"
9,SGD Classifier,0.7794117647058824,"[[102  20]
 [ 40 110]]",2024-01-29,2025-02-27,395 days,50.36764705882353,10621.361099243164,16544.279891967773,6.21361099243164,56.881481423614375,5.743860404784251,77.08289381858712,3.9207537866984943,0.07451537066449916,0.14984195923143015,0.11255498414403707,-26.653175811496837,0.5778117232770209,-51.03159534395927,-13.48603822153808,339 days,62 days,7,28.57142857142857,32.11683682098996,-18.178679265023966,0.8469037726482886,65 days,27 days,1.374155115514747,2.445619097792554,0.11392327239711553,0.02951291983467985,MyStrategy,"                  Equity  DrawdownPct DrawdownDuration
Date                                                  
2024-01-29  10000.000000     0.000000              NaT
2024-01-30  10000.000000     0.000000              NaT
2024-01-31  10000.000000     0.000000              NaT
2024-02-01  10000.000000     0.000000              NaT
2024-02-02  10000.000000     0.000000              NaT
...                  ...          ...              ...
2025-02-21  10621.361099     0.358004              NaT
2025-02-24  10621.361099     0.358004              NaT
2025-02-25  10621.361099     0.358004              NaT
2025-02-26  10621.361099     0.358004              NaT
2025-02-27  10621.361099     0.358004         339 days

[272 rows x 3 columns]","   Size  EntryBar  ExitBar  EntryPrice   ExitPrice    SL    TP          PnL  ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_get_signal  Exit_get_signal
0    59        13       54  168.789993  223.000000  None  None  3198.390396   0.321168 2024-02-15 2024-04-16  61 days  None                 1                0
1    55        84      102  239.020004  217.000000  None  None -1211.100235  -0.092126 2024-05-29 2024-06-25  27 days  None                 1                0
2    47       118      119  251.210007  235.100006  None  None  -757.170029  -0.064130 2024-07-18 2024-07-19   1 days  None                 0                1
3    43       120      129  260.470001  213.119995  None  None -2036.050262  -0.181787 2024-07-22 2024-08-02  11 days  None                 1                0
4    45       181      227  203.529999  266.130005  None  None  2817.000275   0.307571 2024-10-16 2024-12-20  65 days  None                 1                0
5    41       247      261  289.739990  264.390015  None  None -1039.348999  -0.087492 2025-01-23 2025-02-12  20 days  None                 1                0
6    38       263      264  288.019989  278.799988  None  None  -350.360046  -0.032012 2025-02-14 2025-02-18   4 days  None                 0                0"
